Gramaj,Produs,Caloriile (kCal),Proteine (g),Grasimi totale (g),Grasimi saturate(g),Grasimi nesaturate (g),Colesterol (mg),Carbohidrati totali (g),Zaharuri totale (g),Zaharuri adaugate (g),Sodiu (mg)
163 ml,Double Dark Hot Chocolate,255.78,6.87,6.32,4.49,0.16,14.83,41.29,31.81,1.35,70.26
279 ml,English Breakfast (S),9.93,0.56,0.28,0.28,0.28,2.79,0.28,1.4,0,13.84
330 ml,English Breakfast (R),11.75,0.66,0.33,0.33,0.33,3.3,0.33,1.65,0,16.37
456 ml,English Breakfast (L),16.23,0.91,0.46,0.46,0.46,4.56,0.46,2.28,0,22.62
279 ml,Moroccon Mint Green Tea (S),6.25,0.33,0.28,0.28,0.28,2.79,2.79,1.4,0,14.95
330 ml,Moroccon Mint Green Tea (R),7.39,0.4,0.33,0.33,0.33,3.3,3.3,1.65,0,17.69
456 ml,Moroccon Mint Green Tea (L),10.21,0.55,0.46,0.46,0.46,4.56,4.56,2.28,0,24.44
279 ml,Strawberry Green Tea (S),7.03,0.47,0.28,0.28,0.28,2.79,2.79,1.4,0,14.54
330 ml,Strawberry Green Tea (R),8.32,0.56,0.33,0.33,0.33,3.3,3.3,1.65,0,17.19
456 ml,Strawberry Green Tea (L),11.49,0.78,0.46,0.46,0.46,4.56,4.56,2.28,0,23.76
245 ml,Lemon Ice Tea,121.86,0.27,0.17,0.17,0.17,1.65,30.59,26.53,25.6,10.26
236.5 ml,Strawberry Ice Tea,94.95,0.24,0.16,0.16,0.16,1.57,24.17,21.1,20.27,9.72
236.5 ml,Green Apple Ice Tea,94.94,0.24,0.16,0.16,0.16,1.57,24.17,20.75,19.94,9.61
291.5 ml,Iced Coffee,185.34,4.36,4.45,3.26,0.15,12.13,31.88,26.95,17.5,78.35
296.5 ml,Cold Coffee Frappe,331.17,4.98,14.73,13.91,0.16,9.18,45.39,35.57,27.51,188.93
320.5 ml,Mocha Frappe,397.98,5.49,15.01,14,0.2,9.42,60.93,47.55,36.63,233.32
334 ml,Chocolate Oreo Frappe,481.11,6.03,18.89,15.91,0.22,9.36,72.51,55.14,44.35,332.6
259 ml,Strawberry Shake,255.51,3.67,7.44,6.68,0.12,8.39,44.07,37.42,29.8,139.97
259 ml,Chocolate Shake,270.9,4.16,7.7,6.74,0.14,8.39,46.76,37.78,27.88,178.46
280 ml,Mango Smoothie,231.44,3.21,3.63,2.65,0.14,9.89,46.25,38.87,29.72,85.45
290 ml,Mixed Berry Smoothie,235.43,3.33,3.59,2.64,0.15,9.99,47.16,43,33.65,92.07
310 ml,Raw Mango Cooler,102.38,0.14,0.04,0.04,0.04,0.4,25.18,21.06,19.28,102.68
310 ml,Mix Berry Cooler,103.85,0.16,0.04,0.04,0.04,0.4,25.56,21.25,20.52,23.82
310 ml,Sweet Lime Beverage,128.21,0.07,0.08,0,0,0,31.72,28.72,28.08,66.2
266.5 ml,Iced Americano,150.85,3.59,3.57,2.62,0.13,9.76,26.01,21.58,14,62.75
317 ml,American Mud Pie Shake,398.19,5.67,12.77,11.38,0.2,10.89,64.75,53.4,34.35,185.73
81.29 g,Soft serve cone,85.73,1.99,1.82,1.31,0.05,4.75,15.23,10.68,6.99,40.78
93.29 g,McSwirl ChocoDip,160.14,2.71,7.14,5.25,0.07,5.71,20.92,15.39,11.31,51.31
91.79 g,Regular Soft Serve: Hot Fudge,121.64,2.25,4.02,3.01,0.08,5.85,19.11,17.07,10.78,65.56
132.08 g,Medium Soft Serve: Hot Fudge,197.45,3.49,6.87,5.16,0.13,8.55,30.42,27.01,16.9,110.39
91.79 g,Regular Soft Serve: Strawberry,100.99,1.54,1.77,1.3,0.06,4.85,19.78,17.66,12.49,34.51
132.08 g,Medium Soft Serve: Strawberry,156.14,2.05,2.36,1.74,0.1,6.55,31.77,28.2,20.32,48.28
110.79 g,Regular Soft Serve: Brownie with Hot Fudge,205.26,3.2,5.45,3.65,0.1,6.04,35.26,20.75,14.39,100.89
155.08 g,Medium Soft Serve: Brownie with Hot Fudge,311.39,4.65,7.46,4.71,0.13,7.78,55.24,27.94,20.28,146.4
125.79 g,Regular Blackforest,237.89,3.22,5.47,3.66,0.11,6.19,43.42,27.79,19.94,104.47
200.08 g,Medium Blackforest,429.95,5.42,9.76,6.47,0.19,9.23,79.04,48.45,35.22,188.2
86.79 g,Small McFlurry - Oreo,116.36,2.05,3.7,2.25,0.07,4.8,18.69,14.49,10.8,80.73
147.38 g,Regular McFlurry - Oreo,209.39,3.58,6.81,4.07,0.12,8,33.42,25.35,19.23,150.9
195 g,American Triple Cheese Chicken,457.94,24.43,22.65,11.56,0.17,71.23,37.45,7.64,3.84,1396.17
207 g,American Triple Cheese Veg,524.69,19.54,23.16,14.78,0.19,48.74,56.24,7.9,3.84,1174.27
240 g,Cheese Lava Burger,671.06,14.99,33.48,14.12,0.21,33.21,74.25,16.27,10.01,1153.99
307 g,Chicken Cheese Lava Burger,834.36,27.37,45.18,17,0.27,73.11,76.03,16.75,10.01,1745.04
301 g,Chunky Chipotle American Burger Chicken,641.36,39.47,31.51,9.54,0.26,110.37,46.24,9.16,6.32,1906.27
264.5 g,McSpicy Premium Chicken Burger,622.25,31.49,34.65,15.55,0.24,302.61,43.6,6.07,2.64,1614.88
212.5 g,McSpicy Premium Veg Burger,634.71,22.44,39.21,20.46,0.2,43.68,46,7.57,3.28,1446.87
228 g,Piri piri Mc Spicy Chicken Burger,443.4,25.63,17.3,4.01,0.19,64.19,43.29,9.29,6.32,
211 g,Piri piri Mc Spicy Veg Burger,517.98,11.97,24.53,6.01,0.18,8.1,58.87,12.87,6.67,1170.89
90 g,Cheesy Veg Nuggets (6pc),252.29,8.48,13.09,7.53,0.09,20.03,23.6,1.31,0,428.17
135 g,Cheesy Veg Nuggets (9pc),378.43,12.72,19.63,11.3,0.14,30.05,35.4,1.96,0,642.25
299 ml,Small Coca-Cola,109.56,0,0,0,0,0,27.39,27.39,27.39,21.17
394 ml,Medium Coca-Cola,151.36,0,0,0,0,0,37.84,37.84,37.84,29.24
544 ml,Large Coca-Cola,217.36,0,0,0,0,0,54.34,54.34,54.34,41.99
299 ml,Small Fanta orange,129.48,0,0,0,0,0,32.37,32.37,32.37,55.53
394 ml,Medium Fanta Orange,178.88,0,0,0,0,0,44.72,44.72,44.72,76.71
544 ml,Large Fanta orange,256.88,0,0,0,0,0,64.22,64.22,64.22,110.16
299 ml,Small Thums-up,99.6,0,0,0,0,0,24.9,24.9,24.9,25.15
394 ml,Medium Thums-up,137.6,0,0,0,0,0,34.4,34.4,34.4,34.74
544 ml,Large Thums-up,197.6,0,0,0,0,0,49.4,49.4,49.4,49.89
299 ml,Small Sprite,119.52,0,0,0,0,0,29.88,29.88,29.88,2.02
394 ml,Medium Sprite,165.12,0,0,0,0,0,41.28,41.28,41.28,2.79
544 ml,Large Sprite,237.12,0,0,0,0,0,59.28,59.28,59.28,4
286.79 ml,Coke Float,138.76,1.52,1.75,1.28,0.05,4.7,29.22,28.23,24.54,44.53
286.79 ml,Fanta Float,151.56,1.52,1.75,1.28,0.05,4.7,32.42,31.43,27.74,66.61
286.79 ml,Sprite Float,145.16,1.52,1.75,1.28,0.05,4.7,30.82,29.83,26.14,47.09
330 ml,Coke Zero Can,0.99,0,0,0,0,0,0,0,0,24.75
500 ml,Vedica Natural Mineral Water,0,0,0,0,0,0,0,0,0,2.9
25 g,Mustard diping sauce,81.18,0.52,5.57,1.78,0.47,0.29,7.24,6.66,4,221.32
25 g,BBQ diping sauce,54.89,0.26,0.49,0.15,0.04,0.25,12.36,7.65,2.5,113.23
10 g,Chilli Sauce,8.07,0.03,0.01,0.01,0.01,0.1,1.99,1.53,1.34,65.24
5 g,Piri Piri Mix,17.13,0.51,0.36,0.08,0.01,0.05,2.5,0.66,0.4,414.71
8 g,Tomato Ketchup Sachets,11.23,0.08,23.45,0,0.01,0.08,2.63,2.33,1.64,71.05
30 g,Maple Syrup,86.4,0,0,0,0,0.3,21.6,16.2,5.34,15
14 g,Cheese Slice,51.03,3.06,3.99,2.89,0.01,13.43,0.72,0.54,0,178.95
40 g,Sweet Corn,45.08,1.47,1,0.22,0.04,2,7.55,2.54,0,0.04
180 ml,Mixed Fruit Beverage,72.25,0.65,0.02,0.02,0.02,0.01,18,16.83,0,10.8
