Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Double Cheese McMuffin,0.0013556510968994405,0.002574236284765962,0.0006514980186405544,0.0008929695883159751,0.0007594295359767304,2.9830718049593537e-05,0.005776745509650795,0.01584269264922339,0.002751170717038397,0.005280207147832423
Spicy Egg McMuffin,0.003859281386422201,0.005962066317763317,0.005563252509659897,0.09049441236381221,0.0029902700687582467,0.02439582150654579,0.01748100028407868,0.0002713819398985126,0.006970577478561448,0.0012368120013391973
Sausage Mc Muffin,0.002069541225082941,0.0036152656024044283,0.00031808984417634734,0.0005280180822080415,0.003219503565776907,0.0037262701720155223,0.00547710987976226,0.022691434678818328,3.262075930588829e-06,0.011636821411933892
Sausage Mc Muffin with egg,0.01282280776450709,0.008400306069243984,0.009157201900672731,0.14395894307700788,0.002597614836212881,0.0024541198548504823,0.00017285697162908124,0.005279002315424515,0.0018485802203675962,0.10932900304943803
Egg McMuffin,0.005215312475511366,0.006762325222207133,0.008664976073508648,0.105155898162319,0.004054098066330976,0.023808870503456304,0.0072139767111897525,0.003060273697498258,0.0020711009738036885,0.002687147623763023
Hot Cake with maple syrup,0.002938023886149731,0.00675063052714362,3.1857424061951273e-06,0.0007590859363183316,0.002936114694352107,0.0276900009100746,0.001022418744358016,0.0028723748639521833,0.006309539095037018,0.01613138615988016
Hash Brown,0.0014018937258008634,0.005119051893229105,0.00014963340154277953,0.003501636907551778,0.00023899481052887315,0.0006608674792161122,0.008809653800979575,1.779087571785472e-05,0.00038134629753999694,0.0020044318117293032
Espresso,0.007681741545613998,0.008755523310819252,0.00012810041742226035,0.0003716964712440074,0.0005408579667182257,9.070626829672806e-05,0.0003874741184428032,0.00013426518669307447,0.00032124549813112555,0.0010551635173633477
Espresso Machiato,0.005178515150170227,0.007249345113902703,0.00018443131587535954,0.00030125605156159263,2.2288317787102952e-05,0.0001818866470456936,1.3399444016851518e-07,3.6126316758641465e-05,0.00013671967182751012,0.0006281088328462397
Americano (S),0.007681741545613998,0.008755523310819252,0.00012810041742226035,0.0003716964712440074,0.0005408579667182257,9.070626829672806e-05,0.0003874741184428032,0.00013426518669307447,0.00032124549813112555,0.0010551635173633477
Americano (R),0.007202753426919055,0.008211675796189392,0.00012163885925604055,0.0003930728418549985,0.0007768862031591728,6.226963471958511e-09,5.207290477788295e-05,0.00044949738811607106,0.0008389903782180906,0.0005201208657075532
Americano (L),0.007032727600047993,0.008019590766956132,0.00011875880096276973,0.00040181846459498333,0.0008679154527046971,1.2679562218951751e-05,7.8285182738645e-06,0.0006096191201674453,0.001083100013945065,0.0003583751993577431
Cappuccino (S),0.0010684640153266753,0.00411112739615368,0.00037348332995834166,0.00016003465916621446,0.005597520893754292,0.000551668876756899,0.0025231491657893286,6.182070220711383e-05,1.2016205948576443e-05,3.2285988413766666e-05
Cappuccino (R),4.0374079405042e-05,0.0023570939528793017,0.0005020433438842696,0.00010778423617882769,0.012629157066004813,0.000390330465211521,0.008539691333589101,4.017208897042535e-05,2.9517449396895883e-06,0.00023846973393661967
Cappuccino (L),0.00010772531286421845,0.0015274528204048748,0.0006033804346928851,7.653523534234718e-05,0.01931883461756723,0.00041304083086867344,0.013602334027607119,6.98864537425858e-05,1.5316234801565493e-05,0.0007277272921631482
Latte (S),0.0004697803767831203,0.003389809499034733,0.0004354266710381868,0.0001285691795008886,0.008950965866269865,0.0006916919562882246,0.004115556080892666,0.00013671578253889944,6.180792713681713e-05,1.5862599736892174e-08
Latte (R),1.0239775626957656e-05,0.002196747037562197,0.0005237316899416718,0.00010095703237657146,0.013959440451759089,0.00042237322097602467,0.009255342860925903,5.293625328264211e-05,9.244449708456668e-06,0.0002870504986984917
Latte (L),0.00027659071749447026,0.0012759858709464977,0.0006480149639894887,6.306027171618977e-05,0.022531489781506507,0.00048250007589432204,0.01556885689476042,0.00011183946217103758,4.1319065611141623e-05,0.0008729857064870218
Flat White (S),0.00015032906819813658,0.0028289424016216124,0.0004948014962626316,0.00010430477818944478,0.01242168059381224,0.0008212981915358048,0.00578115181745764,0.000217290083352955,0.0001332805754284292,1.7546411437089555e-05
Flat White (R),8.782319461910015e-05,0.0016119237570303457,0.0006098505818808256,7.274548756767952e-05,0.01976271869542965,0.000566693839560038,0.012591272086508117,0.00014039701308926462,6.175995761907702e-05,0.0005336591034036369
Flat White (L),0.0006791338395616903,0.000941741952856976,0.000719756051617247,4.666584767599568e-05,0.027877781594646177,0.0005920031300487514,0.01865817039101297,0.0001932721018183421,0.00010075711857993829,0.0011660151591815539
Mocha (S),0.0002964504043801079,0.00023383351131754147,0.00017406629156023338,4.429617562941243e-06,0.00567366316926385,0.00014255585118978691,0.006181104867831053,5.782073877474587e-05,0.0003449207997567979,0.00034905858393936124
Mocha (R),3.75395380143351e-06,0.000278747304661074,0.00012312125883961233,1.3008916371795902e-05,0.007502397949476507,1.6955237203275485e-06,0.013438345870483355,3.300826593868805e-07,0.00034793342628180465,0.0019871274536349876
Mocha (L),0.0005033643234839701,0.0023509742235807277,9.381607076434866e-05,0.0001016211141216589,0.011290097320547936,5.634817908012046e-05,0.02234739359266307,1.6792417996678224e-06,0.0007255962022813562,0.0043401924795564645
Babycino,0.0020859916556739927,3.548841255868653e-05,2.288441062473794e-05,1.7983119267610985e-07,0.0003025149220104945,3.3152816599445297e-06,0.0026909856432441185,9.951341535753762e-05,0.001440862828938038,9.262476799338735e-06
Hot Chocolate (S),0.0001661648690392856,0.002720215900819289,1.518870997875249e-06,0.00014761359199114176,0.0023979739612792947,7.869123702745999e-05,0.010444569760365872,0.0002484959003979395,0.0035952492117763994,0.001307275568358132
Hot Chocolate (R),9.905378119741384e-07,0.010025964815985115,2.698127300437884e-05,0.0005074132145923365,0.0021723095813048167,0.000437250277010429,0.016520959888606003,0.0002250459868622192,0.005539367754451514,0.0035624885319264082
Hot Chocolate (L),0.0013107300857578934,0.0193992255421155,1.7428707578111486e-05,0.0009659064335802761,0.009212320970466604,0.00038854094068798567,0.03153019790943588,0.0005940548481094286,0.008616984810888406,0.007241814119525364
Premium Dark Hot Chocolate,0.0005764711107022283,4.0117440661195415e-05,0.00010313891073651027,0.00021352235069326537,0.0016911545767849072,0.008488713238145004,0.05122671008062834,0.0019926876708166444,0.01904551474610623,6.881102476823619e-06
Double Dark Hot Chocolate,0.00022815453926356755,0.0009982521951236516,6.38631862981931e-05,0.00021790234003035846,0.0014695835731625478,0.016799833278312516,0.08475480108286788,0.002961575222383848,0.031179859854723598,1.8990769920394294e-05
English Breakfast (S),0.007588008583416355,0.008917571766885487,7.597020324599182e-05,0.0001795507582217538,0.00010558526568594715,0.0006342116888778568,0.0004616797190817168,3.5525686268121043e-06,0.00011167380474578524,0.0042584722902189905
English Breakfast (R),0.007461229366040985,0.008821604285410616,6.696229213850509e-05,0.00015530889115359964,8.07029933858974e-05,0.0006644673612621653,0.00036407228922475353,4.469815404328854e-06,0.0001741346040910472,0.004787119379037401
English Breakfast (L),0.007146624387060275,0.008581428618747576,4.620717465021976e-05,0.00010320545296513946,3.144991777394776e-05,0.0007424109173455351,0.00017162355114277693,7.057234422583006e-06,0.0003927166814096034,0.006115618339026606
Moroccon Mint Green Tea (S),0.0074970450091210155,0.008358310211942692,8.907314975243318e-05,0.0002176231244291131,0.00021524823969054196,7.374203247269062e-05,0.0006003664609056273,3.3300427117109546e-05,0.00012660775281964445,0.00038922643467296977
Moroccon Mint Green Tea (R),0.007350673245516847,0.0081668533615922,8.150756638664901e-05,0.00019719846376773688,0.0002017684451208463,3.940021482778342e-05,0.0005012434462843323,4.9442184140024814e-05,0.00019111924835734842,0.0010082705408480065
Moroccon Mint Green Tea (L),0.006997854645457903,0.007696712905558977,6.34424884238731e-05,0.00015233504773043188,0.0001641837068739934,9.956560142482027e-08,0.0003129286317000108,9.92208378762176e-05,0.0004285115125680204,0.0037357719745970347
Strawberry Green Tea (S),0.007442207249288163,0.008365858648143112,8.69422419326045e-05,0.00021243216497666715,0.0002219008131497217,9.844220040166146e-05,0.0004543187485401362,4.5101519889559836e-05,7.561927670213786e-05,0.000365513561046998
Strawberry Green Tea (R),0.007288248139038858,0.008174965883274026,7.917445459593598e-05,0.00019162216971446925,0.0002091016674203413,6.067482578065412e-05,0.0003510074293824675,6.573941859859454e-05,0.00011831822178892012,0.0009502036188578591
Strawberry Green Tea (L),0.006910982417853095,0.007708620265512524,6.050682614248116e-05,0.0001452389731522366,0.00017376598902187252,6.286672656315909e-06,0.00015504983175214097,0.00013254989564521138,0.00027219869884967634,0.003615054369289924
Lemon Ice Tea,0.005877200657633539,0.003338978770834531,0.00020774220459570284,0.0007000211424669784,0.0018684916669016705,0.00021350061736184357,0.0008446564261551012,0.00011797232724511224,0.0015135098934136628,3.360034363830647e-05
Strawberry Ice Tea,0.006333872525396168,0.0006489491337958013,8.42425869467742e-05,0.00031279776561939527,0.001365424661921993,0.0002926272263436597,0.0009162776813232041,6.731261790998664e-05,0.0008652581790516662,2.4325366183586043e-05
Green Apple Ice Tea,0.006307829251912332,0.0005769380746087698,7.760556431798645e-05,0.0002836926974119383,0.0014044334910689575,0.0002106479070903545,0.0008890506245219579,9.15967429643823e-05,0.0009124224515768786,4.113511145421176e-05
Iced Coffee,0.0016708465375803666,0.0018578949943318507,9.279282955034998e-06,0.0001701554488835181,0.00021828416648763193,1.027437373624375e-05,0.00409533481276133,1.880688878033761e-05,8.765101631640949e-05,6.191990171686833e-05
Cold Coffee Frappe,0.0005979938291463535,0.012874854907866936,8.3227945798282e-05,0.002635518239872419,0.04471956439335008,0.0011836990873646677,0.012863843563419484,0.005652490524146959,7.13871263545582e-05,0.0008159249740673884
Mocha Frappe,0.0012857728324742392,0.032547436163149444,2.5907600892673424e-06,0.0013672382467043733,0.03655328403056599,0.00019893664083297076,0.007381258047670413,0.006391161881830985,0.0007108851688946982,0.0034695635659111523
Chocolate Oreo Frappe,0.0036817237538357447,0.05372155708023271,6.151975335889022e-05,0.0018944456659198603,0.04215702765273092,0.00023717940790957877,0.017052641042191737,0.0033595933198812687,0.000552649847755987,0.0022887902690972794
Strawberry Shake,0.0004041664494033468,0.012867609481310925,5.7877224341002326e-05,6.217167025437478e-06,0.004557980121126405,0.0006537025661602145,0.0008085104698425654,0.00092247913115602,0.00016351464621968488,0.0005464845400313416
Chocolate Shake,0.00020177879273601657,0.012876133751913682,5.433761302518412e-05,4.77603883054215e-06,0.0034343466471210104,3.691272226961948e-05,1.0375743525535879e-05,0.0011113972861161408,0.0016640693398914353,0.0016362875098103558
Mango Smoothie,0.0017032044115714423,0.013344257110181619,0.00024699585495448944,0.0010204160665933004,0.00017974261236077988,0.00012020628837743819,0.002216968516905522,2.1672713619128235e-07,5.05165512612249e-05,4.6941518896884204e-05
Mixed Berry Smoothie,0.0017726411534397446,0.017942281275309405,0.00041018429825369454,0.0017428874644892164,0.0001097401601517284,0.00023853740966745657,0.0019882107952144345,0.00010089472144047351,0.0002087016147951261,2.326058484881127e-05
Raw Mango Cooler,0.005786361147198579,0.0005970692602609431,8.077234880340827e-05,0.0001778773336539973,0.0030852525272640667,0.0002724471357026018,0.0013475303492937172,0.00027139405745491664,0.0006078549558127647,1.507700592067303e-06
Mix Berry Cooler,0.006195985092233953,0.0008219229985507527,7.645503001081004e-05,0.0002346128519747965,0.0020884823710164134,0.00012265978214951012,0.0009198120998580444,0.0001634146241577086,0.0007586004110885651,0.000227796734639317
Sweet Lime Beverage,0.005814960603681087,0.004834577388592682,0.00027455910654949195,0.0008234648525644559,0.0030651620785425186,0.0010684009955512317,0.002004859841854452,6.695689056927604e-05,0.00017777845740568762,0.00014110628879936114
Iced Americano,0.002520932624845004,0.0002481372462379678,4.100346081498532e-08,4.288205679072352e-05,5.350170087449034e-05,1.9867566496907294e-05,0.0022155655179039095,1.0733412738973404e-06,1.5196304236804579e-05,0.00016121179010967544
American Mud Pie Shake,0.0006366518178554374,0.03629343495661071,5.245134692535725e-05,0.0002870556909673922,0.02130826076885828,0.0008884063842630842,0.0011433668889213543,0.0005299381595009722,0.0077739972438983125,0.000983821455896578
Soft serve cone,0.004620963093121305,0.0014361909247435417,3.443520225090411e-05,6.190911278733548e-05,0.00014872820380209701,1.2197911826954271e-06,0.00012170377395680606,8.380635061910942e-05,4.414680457580754e-05,0.00033401499301406555
McSwirl ChocoDip,0.0015627678051302924,3.553226383681256e-05,7.944390346777019e-05,0.0008306346685519005,0.004559272350371663,0.00011260692636404899,0.0016541600730579416,9.915868621047576e-05,0.001181232611264584,0.003431158662923333
Regular Soft Serve: Hot Fudge,0.003089479524859256,8.275393781767336e-05,1.6600689408543698e-05,8.608879852310965e-05,0.0006044145695925452,0.0002572988038298775,1.835475084193866e-08,0.0001912297111403227,0.000561839271819527,0.0011130920682488092
Medium Soft Serve: Hot Fudge,0.0010507233939324912,0.001825471534818825,4.790956155667987e-08,7.368856569383934e-05,0.003202904509519469,0.0001450995270995941,0.0001639452804244159,0.0005272795485932244,0.0019431487767732124,0.0007990621955818854
Regular Soft Serve: Strawberry,0.00470830210328407,2.0985762399053397e-05,3.226985581429366e-08,1.4827362565414802e-05,9.005495185384289e-05,8.775977689587536e-05,0.00010499889541088416,6.632224153968835e-05,0.0001565001929271905,0.0005311411770000214
Medium Soft Serve: Strawberry,0.00342596172380955,0.0026825716271429065,5.8891827295102326e-05,0.00031276937557761633,0.000132176592632053,2.6723643400436902e-06,0.001106151329894202,0.00013043924795466593,0.0004927645782333226,6.553470556886721e-05
Regular Soft Serve: Brownie with Hot Fudge,0.0012413451644096758,0.0009124164621145887,1.7632422662589e-06,0.0002815170946837386,2.3466031907899485e-06,0.0027066233942065797,0.0003175462907034463,0.0004066840959484526,0.000501123276874726,1.9336801234475585e-06
Medium Soft Serve: Brownie with Hot Fudge,7.710995945676222e-05,0.007632698289978052,1.0433060507731092e-05,0.00040258685875562566,0.00027507437577818845,0.01462168353945202,0.0021891126894272397,0.002685942488302933,0.004196013996584352,0.0015496149530953385
Regular Blackforest,0.0009766618180981114,0.004726540093897428,2.040613428695288e-05,5.099606681993123e-05,3.220339472287327e-05,0.00384056467696651,0.0009118444638572202,0.00034210838034496894,0.00027605443746053657,0.00017805400777941234
Medium Blackforest,0.0002638027989427842,0.039375996877146546,0.00028636796578622773,1.8991958336308295e-05,1.3828180129123764e-05,0.020754956331718234,0.005360039844394842,0.0017811448498123615,0.0013136291019848643,0.0041956936085004075
Small McFlurry - Oreo,0.0034189332424555013,0.0002420448536455796,7.4944949143006755e-06,8.798126973769585e-05,2.905650918535049e-06,0.0001908892835088768,0.0002741704040203266,0.00013536409117729105,2.951562979441157e-06,0.001202433967798445
Regular McFlurry - Oreo,0.0010290045855041313,0.002274001919666456,1.788817340921268e-05,2.1504173938252188e-05,0.00025434239383595106,4.458133353875659e-05,9.023767386530887e-05,0.00042162041147857137,9.505480362384818e-06,0.000751390476478216
American Triple Cheese Chicken,0.01893944062178039,0.0009980559830224125,0.00018050551032317615,0.0002178866306877162,0.001668880896454932,0.036028067108737266,0.00038529737083001345,0.013068743004934255,0.01780072040952648,0.00954145701523237
