Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Iced Americano,0.9364177093800614,0.04466409651591975,3.1984917740408435e-06,0.0023416013325192773,0.0014588618485327014,0.00024955092757355076,0.014756278944290237,4.235652698744098e-06,5.340944053003536e-05,5.105746610000128e-05
American Mud Pie Shake,0.03187819651082508,0.8805987181978341,0.0005515244238372169,0.0021129386658709135,0.07832095266609591,0.0015042137850193665,0.0010265054286958375,0.0002818974105629536,0.0036830516698010875,4.200124145745359e-05
Soft serve cone,0.8640597596792766,0.13013127161102295,0.0013521667820080674,0.001701746357094469,0.002041469103332836,7.712637210132544e-06,0.0004080366797542386,0.00016648010576531498,7.810560908086842e-05,5.325143545463423e-05
McSwirl ChocoDip,0.7434384285707909,0.008190900383453558,0.007936471663361148,0.058088421255813066,0.15921511126258184,0.001811430969525888,0.014109511040021097,0.0005011358220744928,0.005316889667200144,0.001391699365177758
Regular Soft Serve: Hot Fudge,0.9633288751322551,0.012503630781663437,0.0010870054598399858,0.003946070798111876,0.01383446534613832,0.002712896077143532,1.0261754716244719e-07,0.0006334593624382209,0.0016575743539115845,0.00029592007095094664
Medium Soft Serve: Hot Fudge,0.4746310532740612,0.39957750238507733,4.544711174506869e-06,0.00489324340950577,0.10620621621259087,0.0022163578271183018,0.0013278546704882546,0.002530362877959578,0.00830511155129817,0.00030775308072597714
Regular Soft Serve: Strawberry,0.9944126645496575,0.002147757738527223,1.4312506435979464e-06,0.00046035747794257576,0.0013962015711338712,0.000626763893313441,0.00039762248501722303,0.00014881121241071694,0.0003127439176771617,9.564590367681801e-05
Medium Soft Serve: Strawberry,0.7107897880618091,0.26969209404121885,0.002565842812909804,0.00953919804721374,0.002013035452678413,1.8748238712357655e-05,0.0041148792757228535,0.0002875021473749181,0.0009673192355441823,1.1592686815714468e-05
Regular Soft Serve: Brownie with Hot Fudge,0.6777069589609,0.2413796849751515,0.0002021518501529411,0.022593480022826073,9.40431664858297e-05,0.049967008950195256,0.0031084244167715706,0.002358743469560339,0.0025886040934748377,9.000944814332154e-07
Medium Soft Serve: Brownie with Hot Fudge,0.017287278001353417,0.8291869384674092,0.0004911840004018525,0.013267976849964527,0.004526937262528391,0.11084590536112285,0.00879970552274051,0.006397156626801086,0.0089007117945257,0.00029620611315252086
Regular Blackforest,0.28442830339781994,0.6670066484664327,0.0012479744265330977,0.0021832036659666884,0.0006884437393271246,0.03782072222757665,0.0047613844152928995,0.001058440495658403,0.000760667748620296,4.421141677210906e-05
Medium Blackforest,0.01303302261066152,0.942660972324806,0.00297102652105406,0.00013793182032788802,5.0149773530794137e-05,0.034673182630137654,0.004748075837118759,0.0009348439516972806,0.0006140591118471961,0.00017673541881891991
Small McFlurry - Oreo,0.959080262647191,0.032901704776785036,0.0004414922113402839,0.0036281357421758904,5.98337150031147e-05,0.0018107229830526036,0.001379014345131769,0.00040340561410927815,7.834080978812304e-06,0.00028759388423209905
